EBAY,,,,,,,,,,
CCI,,,,,,,,,,
EMR,,,,,,,,,,
FOXA,,,,,,,,,,
LYB,,,,,,,,,,
SO,,,,,,,,,,
HAL,,,,,,,,,,
PX,,,,,,,,,,
ESRX,,,,,,,,,,
F,,,,,,,,,,
BBT,,,,,,,,,,
MMC,,,,,,,,,,
STZ,,,,,,,,,,
ICE,,,,,,,,,,
INTU,,,,,,,,,,
NSC,,,,,,,,,,
TGT,,,,,,,,,,
KMB,,,,,,,,,,
VRTX,,,,,,,,,,
VLO,,,,,,,,,,
TRV,,,,,,,,,,
KMI,,,,,,,,,,
ECL,,,,,,,,,,
DAL,,,,,,,,,,
STT,,,,,,,,,,
EA,,,,,,,,,,
SHW,,,,,,,,,,
HUM,,,,,,,,,,
MNST,,,,,,,,,,
BSX,,,,,,,,,,
ZTS,,,,,,,,,,
ETN,,,,,,,,,,
REGN,,,,,,,,,,
BAX,,,,,,,,,,
WM,,,,,,,,,,
AON,,,,,,,,,,
TEL,,,,,,,,,,
HPQ,,,,,,,,,,
JCI,,,,,,,,,,
ALL,,,,,,,,,,
EXC,,,,,,,,,,
APD,,,,,,,,,,
HCA,,,,,,,,,,
LUV,,,,,,,,,,
AFL,,,,,,,,,,
EQIX,,,,,,,,,,
BHGE,,,,,,,,,,
STI,,,,,,,,,,
FIS,,,,,,,,,,
ILMN,,,,,,,,,,
PSA,,,,,,,,,,
APC,,,,,,,,,,
PLD,,,,,,,,,,
ADI,,,,,,,,,,
VFC,,,,,,,,,,
AEP,,,,,,,,,,
MPC,,,,,,,,,,
MCK,,,,,,,,,,
GIS,,,,,,,,,,
PGR,,,,,,,,,,
SYY,,,,,,,,,,
MCO,,,,,,,,,,
PXD,,,,,,,,,,
ROST,,,,,,,,,,
PPG,,,,,,,,,,
SYF,,,,,,,,,,
CMI,,,,,,,,,,
LRCX,,,,,,,,,,
MTB,,,,,,,,,,
EW,,,,,,,,,,
DFS,,,,,,,,,,
RCL,,,,,,,,,,
DXC,,,,,,,,,,
ROP,,,,,,,,,,
YUM,,,,,,,,,,
TSN,,,,,,,,,,
APH,,,,,,,,,,
FISV,,,,,,,,,,
DG,,,,,,,,,,
HLT,,,,,,,,,,
ALXN,,,,,,,,,,
SRE,,,,,,,,,,
WY,,,,,,,,,,
FCX,,,,,,,,,,
TROW,,,,,,,,,,
GLW,,,,,,,,,,
KR,,,,,,,,,,
DLTR,,,,,,,,,,
FTV,,,,,,,,,,
APTV,,,,,,,,,,
WMB,,,,,,,,,,
HPE,,,,,,,,,,
WDC,,,,,,,,,,
AAL,,,,,,,,,,
SWK,,,,,,,,,,
IP,,,,,,,,,,
ZBH,,,,,,,,,,
PH,,,,,,,,,,
ADSK,,,,,,,,,,
PCAR,,,,,,,,,,
PEG,,,,,,,,,,
ROK,,,,,,,,,,
ADM,,,,,,,,,,
AMP,,,,,,,,,,
ED,,,,,,,,,,
PAYX,,,,,,,,,,
NTRS,,,,,,,,,,
RHT,,,,,,,,,,
IR,,,,,,,,,,
KEY,,,,,,,,,,
FITB,,,,,,,,,,
COL,,,,,,,,,,
K,,,,,,,,,,
CXO,,,,,,,,,,
CFG,,,,,,,,,,
OKE,,,,,,,,,,
A,,,,,,,,,,
AVB,,,,,,,,,,
BEN,,,,,,,,,,
MYL,,,,,,,,,,
RSG,,,,,,,,,,
XEL,,,,,,,,,,
RF,,,,,,,,,,
ORLY,,,,,,,,,,
DLR,,,,,,,,,,
DPS,,,,,,,,,,
CERN,,,,,,,,,,
DISH,,,,,,,,,,
GGP,,,,,,,,,,
HCN,,,,,,,,,,
EQR,,,,,,,,,,
HSY,,,,,,,,,,
PPL,,,,,,,,,,
BBY,,,,,,,,,,
WLTW,,,,,,,,,,
ABC,,,,,,,,,,
CAH,,,,,,,,,,
CBS,,,,,,,,,,
IQV,,,,,,,,,,
PCG,,,,,,,,,,
NUE,,,,,,,,,,
HIG,,,,,,,,,,
AZO,,,,,,,,,,
MHK,,,,,,,,,,
NEM,,,,,,,,,,
EXPE,,,,,,,,,,
MGM,,,,,,,,,,
SBAC,,,,,,,,,,
EIX,,,,,,,,,,
MCHP,,,,,,,,,,
UAL,,,,,,,,,,
DVN,,,,,,,,,,
WEC,,,,,,,,,,
VTR,,,,,,,,,,
ALGN,,,,,,,,,,
SWKS,,,,,,,,,,
PFG,,,,,,,,,,
CTL,,,,,,,,,,
WYNN,,,,,,,,,,
INCY,,,,,,,,,,
HRS,,,,,,,,,,
ES,,,,,,,,,,
CNC,,,,,,,,,,
INFO,,,,,,,,,,
DTE,,,,,,,,,,
BXP,,,,,,,,,,
DHI,,,,,,,,,,
OMC,,,,,,,,,,
HRL,,,,,,,,,,
LH,,,,,,,,,,
AME,,,,,,,,,,
TSLA,,,,,,,,,,
AMD,,,,,,,,,,
ZM,,,,,,,,,,
NXPI,,,,,,,,,,
ASML,,,,,,,,,,
DOCU,,,,,,,,,,
KLAC,,,,,,,,,,
MRVL,,,,,,,,,,
WDAY,,,,,,,,,,
SNPS,,,,,,,,,,
CDNS,,,,,,,,,,
TEAM,,,,,,,,,,
XLNX,,,,,,,,,,
OKTA,,,,,,,,,,
ANSS,,,,,,,,,,
MXIM,,,,,,,,,,
VRSN,,,,,,,,,,
CDW,,,,,,,,,,
SPLK,,,,,,,,,,
CHKP,,,,,,,,,,
TMUS,,,,,,,,,,
BIDU,,,,,,,,,,
MTCH,,,,,,,,,,
NTES,,,,,,,,,,
SIRI,,,,,,,,,,
BKNG,,,,,,,,,,
MELI,,,,,,,,,,
JD,,,,,,,,,,
PDD,,,,,,,,,,
LULU,,,,,,,,,,
PTON,,,,,,,,,,
TCOM,,,,,,,,,,
MRNA,,,,,,,,,,
IDXX,,,,,,,,,,
DXCM,,,,,,,,,,
SGEN,,,,,,,,,,
KDP,,,,,,,,,,
CTAS,,,,,,,,,,
CPRT,,,,,,,,,,
FAST,,,,,,,,,,
VRSK,,,,,,,,,,
